,result,table,_start,_stop,_time,_value,_field,_measurement,agent_host,host,placement,plugin,rack,server
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:00:00Z,32,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:00:01Z,32,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:00:02Z,28,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:00:03Z,28,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:00:04Z,28,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:00:05Z,28,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:00:06Z,28,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:00:07Z,29,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:00:08Z,29,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:00:09Z,38,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:00:10Z,38,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:00:11Z,38,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:00:12Z,38,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:00:13Z,38,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:00:14Z,32,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:00:15Z,32,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:00:16Z,32,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:00:17Z,32,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:00:18Z,27,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
,_result,0,2026-03-02T17:00:00Z,2026-03-03T00:00:00Z,2026-03-02T17:00:19Z,27,ultraP3,pdu125,10.255.35.6,energydata,table,pdu,r125,ultraP3
